"","emotion","wheel","n","sent_score"
"1",218,"아비아브 알도",1412,1.54
"2",20,"아비아브 에이온",752,0.27
"3",172,"아비아브 에어로엑스",1375,1.25
"4",641,"아비아브 아데온",5761,1.11
"5",204,"비전 메트론",2460,0.83
"6",158,"비전 SC",2026,0.78
"7",659,"엘리트 드라이브",4573,1.44
"8",42,"엘리트 힐릭스",253,1.66
"9",211,"엘리트 엣지",2226,0.95
"10",441,"파스포츠 하이퍼",3504,1.26
"11",198,"파스포츠 아이안테",1671,1.18
"12",703," ARC 1100",6529,1.08
"13",478," ARC 1400",3320,1.44
"14",134,"시마노 c60",1081,1.24
"15",338,"시마노 c50",2075,1.63
"16",250,"엔비 ses",2687,0.93
"17",0,"엔비 파운데이션",51,0
"18",249,"짚 NSW",3572,0.7
"19",42," 파이어크레스트",971,0.43
"20",423," 보라 울트라 WTO",4185,1.01
"21",838," 보라 WTO",9194,0.91
"22",31,"펄크럼 윈드",268,1.16
"23",1292,"펄크럼 레이싱",12461,1.04
"24",235,"로발 래피드",4228,0.56
"25",134,"로발 알피니스트",1342,1
"26",250,"케이덱스 42",3047,0.82
"27",522,"케이덱스 50",6142,0.85
"28",354,"케이덱스 65",4268,0.83
"29",531,"마빅 코스믹",6007,0.88
